material_type,period,language_group,date_status,publisher_status,place_result,count
Text,Date missing,Latin,Date missing,Publisher present,Place unresolved,231
Text,Date missing,Latin,Date missing,Publisher present,Explicitly unknown,783
Text,Date missing,Latin,Date missing,Publisher missing,Not assessed (Publisher missing),118
Text,Date missing,Not recorded / undetermined,Date present,Publisher present,Place identified,362
Text,Date missing,Not recorded / undetermined,Date present,Publisher present,Place unresolved,299
Text,Date missing,Not recorded / undetermined,Date present,Publisher present,Explicitly unknown,36
Text,Date missing,Not recorded / undetermined,Date present,Publisher missing,Not assessed (Publisher missing),234
Text,Date missing,Not recorded / undetermined,Date missing,Publisher present,Place identified,4860
Text,Date missing,Not recorded / undetermined,Date missing,Publisher present,Place unresolved,3637
Text,Date missing,Not recorded / undetermined,Date missing,Publisher present,Explicitly unknown,33
Text,Date missing,Not recorded / undetermined,Date missing,Publisher present,Ambiguous,45
Text,Date missing,Not recorded / undetermined,Date missing,Publisher missing,Not assessed (Publisher missing),12424
Text,Date missing,Other languages,Date present,Publisher present,Place identified,283
Text,Date missing,Other languages,Date present,Publisher present,Place unresolved,829
Text,Date missing,Other languages,Date present,Publisher present,Explicitly unknown,321
Text,Date missing,Other languages,Date present,Publisher missing,Not assessed (Publisher missing),17
Text,Date missing,Other languages,Date missing,Publisher present,Place identified,315
Text,Date missing,Other languages,Date missing,Publisher present,Place unresolved,1030
Text,Date missing,Other languages,Date missing,Publisher present,Explicitly unknown,196
Text,Date missing,Other languages,Date missing,Publisher missing,Not assessed (Publisher missing),6739
Text,Date missing,Polish,Date present,Publisher present,Place identified,9
Text,Date missing,Polish,Date present,Publisher present,Place unresolved,15
Text,Date missing,Polish,Date present,Publisher present,Explicitly unknown,2
Text,Date missing,Polish,Date missing,Publisher present,Place identified,30
Text,Date missing,Polish,Date missing,Publisher present,Place unresolved,86
Text,Date missing,Polish,Date missing,Publisher present,Explicitly unknown,1
Text,Date missing,Polish,Date missing,Publisher missing,Not assessed (Publisher missing),318
Text,Date missing,Russian,Date present,Publisher present,Place identified,25
Text,Date missing,Russian,Date present,Publisher present,Place unresolved,17
Text,Date missing,Russian,Date present,Publisher present,Explicitly unknown,6
Text,Date missing,Russian,Date present,Publisher missing,Not assessed (Publisher missing),1
Text,Date missing,Russian,Date missing,Publisher present,Place identified,148
Text,Date missing,Russian,Date missing,Publisher present,Place unresolved,136
Text,Date missing,Russian,Date missing,Publisher present,Explicitly unknown,12
Text,Date missing,Russian,Date missing,Publisher missing,Not assessed (Publisher missing),2723
Text,Date missing,Spanish,Date present,Publisher present,Place identified,74
Text,Date missing,Spanish,Date present,Publisher present,Place unresolved,435
Text,Date missing,Spanish,Date present,Publisher present,Explicitly unknown,22
Text,Date missing,Spanish,Date missing,Publisher present,Place identified,251
Text,Date missing,Spanish,Date missing,Publisher present,Place unresolved,506
Text,Date missing,Spanish,Date missing,Publisher present,Explicitly unknown,12
Text,Date missing,Spanish,Date missing,Publisher missing,Not assessed (Publisher missing),1856
Text,Date missing,Swedish,Date present,Publisher present,Place identified,1
Text,Date missing,Swedish,Date present,Publisher present,Place unresolved,9
Text,Date missing,Swedish,Date present,Publisher present,Explicitly unknown,1
Text,Date missing,Swedish,Date missing,Publisher present,Place identified,29
Text,Date missing,Swedish,Date missing,Publisher present,Place unresolved,31
Text,Date missing,Swedish,Date missing,Publisher present,Explicitly unknown,2
Text,Date missing,Swedish,Date missing,Publisher missing,Not assessed (Publisher missing),357
Text,Date missing,Welsh,Date present,Publisher present,Place identified,6
Text,Date missing,Welsh,Date present,Publisher present,Place unresolved,9
Text,Date missing,Welsh,Date present,Publisher present,Explicitly unknown,2
Text,Date missing,Welsh,Date missing,Publisher present,Place identified,17
Text,Date missing,Welsh,Date missing,Publisher present,Place unresolved,75
Text,Date missing,Welsh,Date missing,Publisher present,Explicitly unknown,1
Text,Date missing,Welsh,Date missing,Publisher missing,Not assessed (Publisher missing),679
Other / not recorded,1600-1699,Dutch,Date present,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,1600-1699,English,Date present,Publisher present,Place unresolved,2
Other / not recorded,1600-1699,English,Date present,Publisher missing,Not assessed (Publisher missing),223
Other / not recorded,1600-1699,French,Date present,Publisher missing,Not assessed (Publisher missing),7
Other / not recorded,1600-1699,German,Date present,Publisher missing,Not assessed (Publisher missing),2
Other / not recorded,1600-1699,Italian,Date present,Publisher missing,Not assessed (Publisher missing),4
Other / not recorded,1600-1699,Latin,Date present,Publisher missing,Not assessed (Publisher missing),41
Other / not recorded,1600-1699,Not recorded / undetermined,Date present,Publisher present,Place identified,1
Other / not recorded,1600-1699,Other languages,Date present,Publisher missing,Not assessed (Publisher missing),5
Other / not recorded,1600-1699,Spanish,Date present,Publisher missing,Not assessed (Publisher missing),5
Other / not recorded,1700-1799,Danish,Date present,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,1700-1799,Dutch,Date present,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,1700-1799,English,Date present,Publisher present,Place unresolved,3
Other / not recorded,1700-1799,English,Date present,Publisher missing,Not assessed (Publisher missing),1051
Other / not recorded,1700-1799,French,Date present,Publisher present,Place unresolved,1
Other / not recorded,1700-1799,French,Date present,Publisher missing,Not assessed (Publisher missing),29
Other / not recorded,1700-1799,German,Date present,Publisher present,Place unresolved,1
Other / not recorded,1700-1799,German,Date present,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,1700-1799,Italian,Date present,Publisher missing,Not assessed (Publisher missing),4
Other / not recorded,1700-1799,Latin,Date present,Publisher present,Place identified,1
Other / not recorded,1700-1799,Latin,Date present,Publisher present,Place unresolved,1
Other / not recorded,1700-1799,Latin,Date present,Publisher missing,Not assessed (Publisher missing),46
Other / not recorded,1700-1799,Not recorded / undetermined,Date present,Publisher present,Place unresolved,1
Other / not recorded,1700-1799,Not recorded / undetermined,Date present,Publisher missing,Not assessed (Publisher missing),2
Other / not recorded,1700-1799,Other languages,Date present,Publisher missing,Not assessed (Publisher missing),4
Other / not recorded,1700-1799,Spanish,Date present,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,1700-1799,Welsh,Date present,Publisher missing,Not assessed (Publisher missing),2
Other / not recorded,1800-1899,English,Date present,Publisher present,Place identified,10
Other / not recorded,1800-1899,English,Date present,Publisher present,Place unresolved,1
Other / not recorded,1800-1899,English,Date present,Publisher present,Explicitly unknown,2
Other / not recorded,1800-1899,English,Date present,Publisher missing,Not assessed (Publisher missing),245
Other / not recorded,1800-1899,French,Date present,Publisher present,Place unresolved,2
Other / not recorded,1800-1899,French,Date present,Publisher missing,Not assessed (Publisher missing),9
Other / not recorded,1800-1899,German,Date present,Publisher present,Place unresolved,2
Other / not recorded,1800-1899,Latin,Date present,Publisher missing,Not assessed (Publisher missing),4
Other / not recorded,1800-1899,Not recorded / undetermined,Date present,Publisher missing,Not assessed (Publisher missing),10
Other / not recorded,1800-1899,Other languages,Date present,Publisher missing,Not assessed (Publisher missing),12
Other / not recorded,1800-1899,Spanish,Date present,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,1800-1899,Welsh,Date present,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,1900-2020,Danish,Date present,Publisher missing,Not assessed (Publisher missing),3
Other / not recorded,1900-2020,Dutch,Date present,Publisher missing,Not assessed (Publisher missing),7
Other / not recorded,1900-2020,English,Date present,Publisher present,Place identified,763
Other / not recorded,1900-2020,English,Date present,Publisher present,Place unresolved,242
Other / not recorded,1900-2020,English,Date present,Publisher present,Explicitly unknown,16
Other / not recorded,1900-2020,English,Date present,Publisher present,Ambiguous,5
Other / not recorded,1900-2020,English,Date present,Publisher missing,Not assessed (Publisher missing),2630
Other / not recorded,1900-2020,French,Date present,Publisher present,Place identified,4
Other / not recorded,1900-2020,French,Date present,Publisher present,Place unresolved,6
Other / not recorded,1900-2020,French,Date present,Publisher missing,Not assessed (Publisher missing),50
Other / not recorded,1900-2020,German,Date present,Publisher present,Place unresolved,3
Other / not recorded,1900-2020,German,Date present,Publisher missing,Not assessed (Publisher missing),25
Other / not recorded,1900-2020,Italian,Date present,Publisher present,Place identified,3
Other / not recorded,1900-2020,Italian,Date present,Publisher missing,Not assessed (Publisher missing),21
Other / not recorded,1900-2020,Latin,Date present,Publisher missing,Not assessed (Publisher missing),4
Other / not recorded,1900-2020,Not recorded / undetermined,Date present,Publisher present,Place identified,28
Other / not recorded,1900-2020,Not recorded / undetermined,Date present,Publisher present,Place unresolved,12
Other / not recorded,1900-2020,Not recorded / undetermined,Date present,Publisher present,Explicitly unknown,1
Other / not recorded,1900-2020,Not recorded / undetermined,Date present,Publisher missing,Not assessed (Publisher missing),32
Other / not recorded,1900-2020,Other languages,Date present,Publisher present,Place identified,4
Other / not recorded,1900-2020,Other languages,Date present,Publisher present,Place unresolved,10
Other / not recorded,1900-2020,Other languages,Date present,Publisher missing,Not assessed (Publisher missing),48
Other / not recorded,1900-2020,Polish,Date present,Publisher missing,Not assessed (Publisher missing),5
Other / not recorded,1900-2020,Russian,Date present,Publisher present,Place identified,1
Other / not recorded,1900-2020,Russian,Date present,Publisher missing,Not assessed (Publisher missing),21
Other / not recorded,1900-2020,Spanish,Date present,Publisher present,Place identified,4
Other / not recorded,1900-2020,Spanish,Date present,Publisher missing,Not assessed (Publisher missing),40
Other / not recorded,1900-2020,Swedish,Date present,Publisher present,Place identified,1
Other / not recorded,1900-2020,Swedish,Date present,Publisher missing,Not assessed (Publisher missing),4
Other / not recorded,1900-2020,Welsh,Date present,Publisher present,Place unresolved,11
Other / not recorded,1900-2020,Welsh,Date present,Publisher present,Explicitly unknown,1
Other / not recorded,1900-2020,Welsh,Date present,Publisher missing,Not assessed (Publisher missing),4
Other / not recorded,Date missing,English,Date present,Publisher present,Place identified,2
Other / not recorded,Date missing,English,Date present,Publisher present,Place unresolved,2
Other / not recorded,Date missing,English,Date present,Publisher present,Explicitly unknown,1
Other / not recorded,Date missing,English,Date present,Publisher missing,Not assessed (Publisher missing),31
Other / not recorded,Date missing,English,Date missing,Publisher present,Place identified,20
Other / not recorded,Date missing,English,Date missing,Publisher present,Place unresolved,21
Other / not recorded,Date missing,English,Date missing,Publisher present,Explicitly unknown,12
Other / not recorded,Date missing,English,Date missing,Publisher missing,Not assessed (Publisher missing),436
Other / not recorded,Date missing,French,Date present,Publisher present,Place unresolved,1
Other / not recorded,Date missing,French,Date present,Publisher missing,Not assessed (Publisher missing),2
Other / not recorded,Date missing,French,Date missing,Publisher missing,Not assessed (Publisher missing),2
Other / not recorded,Date missing,German,Date present,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,Date missing,German,Date missing,Publisher present,Explicitly unknown,1
Other / not recorded,Date missing,German,Date missing,Publisher missing,Not assessed (Publisher missing),2
Other / not recorded,Date missing,Italian,Date present,Publisher present,Place identified,1
Other / not recorded,Date missing,Italian,Date missing,Publisher missing,Not assessed (Publisher missing),2
Other / not recorded,Date missing,Latin,Date present,Publisher present,Place unresolved,1
Other / not recorded,Date missing,Latin,Date present,Publisher missing,Not assessed (Publisher missing),11
Other / not recorded,Date missing,Not recorded / undetermined,Date present,Publisher present,Place identified,3
Other / not recorded,Date missing,Not recorded / undetermined,Date present,Publisher present,Place unresolved,5
Other / not recorded,Date missing,Not recorded / undetermined,Date present,Publisher present,Explicitly unknown,4
Other / not recorded,Date missing,Not recorded / undetermined,Date present,Publisher missing,Not assessed (Publisher missing),22
Other / not recorded,Date missing,Not recorded / undetermined,Date missing,Publisher present,Place unresolved,2
Other / not recorded,Date missing,Not recorded / undetermined,Date missing,Publisher missing,Not assessed (Publisher missing),157193
Other / not recorded,Date missing,Other languages,Date present,Publisher present,Place unresolved,1
Other / not recorded,Date missing,Other languages,Date present,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,Date missing,Other languages,Date missing,Publisher present,Place unresolved,1
Other / not recorded,Date missing,Other languages,Date missing,Publisher present,Explicitly unknown,1
Other / not recorded,Date missing,Other languages,Date missing,Publisher missing,Not assessed (Publisher missing),15
Other / not recorded,Date missing,Polish,Date missing,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,Date missing,Russian,Date missing,Publisher missing,Not assessed (Publisher missing),1
Other / not recorded,Date missing,Spanish,Date present,Publisher missing,Not assessed (Publisher missing),8
Other / not recorded,Date missing,Spanish,Date missing,Publisher missing,Not assessed (Publisher missing),1
